category, x_var, y_var, weight
1, 0.01, 1.0, 149
1, 0.01, 2.0, 71
1, 0.01, 3.0, 69
1, 0.01, 4.0, 140
1, 0.01, 0.0, 318
1, 0.02, 1.0, 456
1, 0.02, 2.0, 258
1, 0.02, 3.0, 204
1, 0.02, 4.0, 273
1, 0.02, 0.0, 887
1, 0.03, 1.0, 1098
1, 0.03, 2.0, 544
1, 0.03, 3.0, 470
1, 0.03, 4.0, 533
1, 0.03, 0.0, 1875
1, 0.04, 1.0, 1173
1, 0.04, 2.0, 670
1, 0.04, 3.0, 377
1, 0.04, 4.0, 498
1, 0.04, 0.0, 1569
1, 0.05, 1.0, 2650
1, 0.05, 2.0, 1797
1, 0.05, 3.0, 1151
1, 0.05, 4.0, 954
1, 0.05, 0.0, 3144
1, 0.06, 1.0, 2760
1, 0.06, 2.0, 1652
1, 0.06, 3.0, 1194
1, 0.06, 4.0, 1073
1, 0.06, 0.0, 2589
1, 0.07, 1.0, 4437
1, 0.07, 2.0, 2897
1, 0.07, 3.0, 2613
1, 0.07, 4.0, 2300
1, 0.07, 0.0, 5719
1, 0.08, 1.0, 4815
1, 0.08, 2.0, 3220
1, 0.08, 3.0, 2512
1, 0.08, 4.0, 3059
1, 0.08, 0.0, 6272
1, 0.09, 1.0, 5644
1, 0.09, 2.0, 4250
1, 0.09, 3.0, 2861
1, 0.09, 4.0, 3344
1, 0.09, 0.0, 6920
1, 0.1, 1.0, 8317
1, 0.1, 2.0, 5773
1, 0.1, 3.0, 4403
1, 0.1, 4.0, 4057
1, 0.1, 0.0, 9834
1, 0.11, 1.0, 9369
1, 0.11, 2.0, 6343
1, 0.11, 3.0, 4424
1, 0.11, 4.0, 4792
1, 0.11, 0.0, 10307
1, 0.12, 1.0, 10861
1, 0.12, 2.0, 6659
1, 0.12, 3.0, 4404
1, 0.12, 4.0, 4876
1, 0.12, 0.0, 11829
1, 0.13, 1.0, 14274
1, 0.13, 2.0, 7833
1, 0.13, 3.0, 5876
1, 0.13, 4.0, 5715
1, 0.13, 0.0, 16129
1, 0.14, 1.0, 16788
1, 0.14, 2.0, 8965
1, 0.14, 3.0, 6790
1, 0.14, 4.0, 5990
1, 0.14, 0.0, 17469
1, 0.15, 1.0, 16745
1, 0.15, 2.0, 8672
1, 0.15, 3.0, 6750
1, 0.15, 4.0, 6305
1, 0.15, 0.0, 16674
1, 0.16, 1.0, 16416
1, 0.16, 2.0, 8532
1, 0.16, 3.0, 6129
1, 0.16, 4.0, 5735
1, 0.16, 0.0, 16621
1, 0.17, 1.0, 18882
