category,x_var,y_var,weight
0,20, 229,192
0,21, 44,132
0,22, 32,89
0,24, 63,23
0,30, 57,18
0,32, 109,6
0,32, 22,56
0,32, 66,245
0,41, 118,514
0,41, 206,377
0,42, 23,20
0,43, 219,29
0,51, 69,119
0,20, 99,9
0,23, 52,137
0,24, 73,9
0,25, 83,10
0,41, 12,68
0,41, 67,137
0,50, 58,179
0,57, 40,28
0,20, 106,80
0,21, 8,1003
0,23, 73,7
0,24, 209,23
0,26, 92,55
0,30, 204,15
0,30, 237,35
0,32, 86,9
0,35, 94,51
0,36, 71,456
0,41, 44,22
0,41, 99,48
0,60, 58,63
0,21, 238,70
0,22, 117,144
0,22, 139,399
0,24, 207,694
0,24, 81,264
0,25, 109,71
0,30, 114,13
0,30, 125,464
0,31, 214,30
0,31, 5,579
0,32, 73,169
0,35, 218,144
0,36, 91,57
0,40, 212,10
0,53, 148,17
0,21, 50,7
0,22, 248,18
0,33, 127,14
0,36, 119,111
0,41, 146,428
0,41, 168,15
0,44, 149,163
0,10, 213,136
0,14, 107,11
0,20, 146,60
0,21, 136,40
0,22, 214,11
0,22, 225,40
0,24, 128,37
0,30, 178,10
0,30, 189,16
0,31, 157,14
0,41, 95,9
0,43, 169,207
0,46, 249,17
0,20, 60,506
0,21, 124,87
0,21, 70,11
0,31, 93,8
0,32, 234,89
0,34, 126,9
0,35, 105,62
0,35, 149,51
0,37, 118,13
0,49, 218,88
0,12, 246,6
0,17, 9,53
0,20, 100,23
0,20, 92,16
0,21, 167,39
0,21, 178,93
0,21, 189,639
0,21, 211,93
0,23, 136,229
0,23, 224,23
0,30, 176,7
0,31, 144,31
0,33, 157,62
0,33, 168,11
0,36, 6,250
0,38, 217,106
0,39, 119,197
0,43, 156,282
0,16, 7,7
0,19, 219,9
0,20, 132,27
0,21, 122,18
0,23, 113,163
0,23, 201,12
0,25, 225,66
0,28, 206,99
0,30, 164,17
0,30, 70,7
0,34, 201,77
0,34, 3,822
0,55, 211,65
0,15, 203,24
0,16, 138,15
0,17, 117,590
0,18, 118,151
0,20, 197,25
0,22, 1,3798
0,23, 123,72
0,24, 223,12
0,26, 126,7
0,27, 237,35
0,34, 101,8
0,34, 178,294
0,35, 201,13
0,36, 103,208
0,43, 231,216
0,47, 136,161
0,49, 226,23
0,16, 104,9
0,16, 214,9
0,23, 210,30
0,25, 102,44
0,28, 226,9
0,37, 136,28
0,49, 5,200
0,13, 122,33
0,14, 112,11
0,15, 234,38
0,18, 204,257
0,18, 226,23
0,18, 237,26
0,19, 117,41
0,23, 231,246
0,27, 114,52
0,27, 136,31
0,27, 246,12
0,28, 247,45
0,33, 120,83
0,34, 231,13
0,36, 134,177
0,37, 234,59
0,37, 3,4915
0,53, 162,128
0,14, 1,21
0,15, 211,27
0,16, 212,5
0,19, 226,71
0,22, 196,93
0,24, 198,101
0,26, 200,8
0,26, 233,46
0,27, 201,18
0,30, 182,56
0,37, 145,265
0,37, 2,16
0,17, 102,35
0,18, 202,113
0,19, 148,1393
0,19, 159,15
0,25, 121,6
0,25, 143,80
0,28, 113,16
0,28, 168,65
0,28, 234,94
0,29, 103,91
0,35, 175,799
0,36, 242,94
0,48, 166,44
0,15, 121,15
0,16, 122,5
0,17, 2,769
0,18, 3,186
0,19, 114,198
0,19, 202,125
0,21, 160,704
0,21, 182,926
0,24, 174,105
0,25, 142,34
0,26, 187,8
0,27, 100,137
0,27, 188,46
0,33, 161,65
0,35, 163,15
0,41, 180,109
0,19, 113,407
0,20, 180,254
0,21, 170,72
0,24, 162,12
0,27, 143,18
0,29, 134,69
0,35, 250,31
0,36, 196,382
0,39, 133,12
0,58, 130,78
0,18, 177,34
0,19, 222,65
0,19, 233,5
0,25, 162,316
0,27, 131,5
0,27, 164,36
0,35, 161,102
0,39, 110,26
0,48, 185,134
0,48, 240,35
0,15, 195,46
0,17, 18,454
0,18, 110,66
0,18, 187,29
0,18, 39,40
0,19, 100,133
0,19, 177,73
0,19, 232,155
0,24, 160,16
0,25, 150,59
0,27, 152,29
0,28, 164,94
0,34, 181,36
0,16, 162,50
0,17, 152,24
0,17, 196,34
0,18, 131,8
0,18, 142,5
0,19, 231,9
0,25, 171,25
0,26, 183,116
0,28, 196,856
0,28, 240,109
0,28, 28,440
0,29, 120,37
0,39, 196,20
0,48, 194,24
0,19, 131,150
0,19, 69,29
0,25, 19,8
0,28, 195,79
0,38, 17,338
0,17, 194,13
0,19, 13,311
0,27, 193,21
0,28, 150,11
0,29, 36,39
0,36, 18,942
0,15, 191,81
0,15, 15,276
0,15, 26,34
0,15, 59,245
0,16, 180,6
0,17, 35,10
0,17, 68,420
0,26, 59,62
0,29, 160,60
0,29, 34,76
0,17, 191,38
0,17, 45,61
0,17, 78,29
0,18, 77,14
0,22, 29,690
0,28, 89,88
0,39, 34,553
0,13, 48,255
0,19, 75,87
0,25, 14,703
0,45, 49,487
0,17, 10,48
0,19, 30,63
