category,x_var,y_var,weight
1, 0.01, 1.0, 248
1, 0.01, 2.0, 37
1, 0.01, 3.0, 19
1, 0.01, 4.0, 19
1, 0.01, 0.0, 267
1, 0.02, 1.0, 700
1, 0.02, 2.0, 126
1, 0.02, 3.0, 58
1, 0.02, 4.0, 58
1, 0.02, 0.0, 1190
1, 0.03, 1.0, 1183
1, 0.03, 2.0, 159
1, 0.03, 3.0, 57
1, 0.03, 4.0, 26
1, 0.03, 0.0, 1102
1, 0.04, 1.0, 1931
1, 0.04, 2.0, 292
1, 0.04, 3.0, 115
1, 0.04, 4.0, 91
1, 0.04, 0.0, 1985
1, 0.05, 1.0, 1841
1, 0.05, 2.0, 411
1, 0.05, 3.0, 149
1, 0.05, 4.0, 167
1, 0.05, 0.0, 2482
1, 0.06, 1.0, 1853
1, 0.06, 2.0, 510
1, 0.06, 3.0, 189
1, 0.06, 4.0, 139
1, 0.06, 0.0, 2891
1, 0.07, 1.0, 1992
1, 0.07, 2.0, 616
1, 0.07, 3.0, 293
1, 0.07, 4.0, 168
1, 0.07, 0.0, 3962
1, 0.08, 1.0, 3207
1, 0.08, 2.0, 998
1, 0.08, 3.0, 512
1, 0.08, 4.0, 466
1, 0.08, 0.0, 5311
1, 0.09, 1.0, 3956
1, 0.09, 2.0, 2359
1, 0.09, 3.0, 517
1, 0.09, 4.0, 392
1, 0.09, 0.0, 5709
1, 0.1, 1.0, 4770
1, 0.1, 2.0, 1878
1, 0.1, 3.0, 639
1, 0.1, 4.0, 648
1, 0.1, 0.0, 7672
1, 0.11, 1.0, 5045
1, 0.11, 2.0, 1825
1, 0.11, 3.0, 1076
1, 0.11, 4.0, 1035
1, 0.11, 0.0, 8176
1, 0.12, 1.0, 3798
1, 0.12, 2.0, 1779
1, 0.12, 3.0, 1020
1, 0.12, 4.0, 561
1, 0.12, 0.0, 6837
1, 0.13, 1.0, 4999
1, 0.13, 2.0, 1774
1, 0.13, 3.0, 1045
1, 0.13, 4.0, 688
1, 0.13, 0.0, 9722
1, 0.14, 1.0, 6168
1, 0.14, 2.0, 1934
1, 0.14, 3.0, 955
1, 0.14, 4.0, 534
1, 0.14, 0.0, 11235
1, 0.15, 1.0, 6389
1, 0.15, 2.0, 1439
1, 0.15, 3.0, 969
1, 0.15, 4.0, 508
1, 0.15, 0.0, 9632
1, 0.16, 1.0, 6922
1, 0.16, 2.0, 1697
1, 0.16, 3.0, 705
1, 0.16, 4.0, 323
1, 0.16, 0.0, 10523
1, 0.17, 1.0, 6871
1, 0.17, 2.0, 2194
1, 0.17, 3.0, 755
1, 0.17, 4.0, 398
1, 0.17, 0.0, 11551
1, 0.18, 1.0, 6573
1, 0.18, 2.0, 2213
1, 0.18, 3.0, 783
1, 0.18, 4.0, 421
