category,x_var,y_var,weight
4, 0, 10200, 2
4, 0, 12400, 1
4, 0, 14600, 1
4, 0, 17900, 1
4, 0, 1800, 2565
4, 0, 18, 190
4, 0, 2900, 514
4, 0, 29, 162
4, 0, 300, 12956
4, 0, 3, 12
4, 0, 410, 8088
4, 0, 520, 5436
4, 0, 630, 3815
4, 0, 740, 2849
4, 0, 850, 2102
4, 0, 960, 1502
4, 1, 10300, 1
4, 1, 11400, 2
4, 1, 14700, 1
4, 1, 16900, 1
4, 1, 1700, 1966
4, 1, 17, 12
4, 1, 2800, 482
4, 1, 28, 10
4, 1, 3900, 134
4, 1, 39, 7
4, 1, 400, 2578
4, 1, 4, 5
4, 1, 510, 2006
4, 1, 620, 1501
4, 1, 730, 1239
4, 1, 840, 943
4, 1, 950, 769
4, 10, 4000, 25
4, 10, 5100, 15
4, 10, 6200, 13
4, 10, 62, 1
4, 10, 7300, 5
4, 10, 73, 2
4, 10, 9500, 1
4, 10, 95, 1
4, 100, 1700, 4
4, 100, 2800, 4
4, 100, 840, 1
4, 100, 950, 2
4, 101, 1600, 2
4, 101, 2700, 1
4, 101, 500, 1
4, 101, 720, 1
4, 101, 830, 1
4, 102, 1500, 2
4, 102, 2600, 2
4, 102, 3700, 1
4, 102, 4800, 1
4, 102, 600, 1
4, 102, 710, 1
4, 102, 930, 1
4, 103, 2500, 2
4, 103, 3600, 1
4, 103, 4700, 1
4, 103, 5800, 1
4, 103, 920, 1
4, 104, 1300, 3
4, 104, 2400, 2
4, 104, 3500, 1
4, 104, 4600, 3
4, 104, 5700, 1
4, 1044, 4000, 1
4, 105, 1200, 5
4, 105, 2300, 2
4, 105, 5600, 2
4, 106, 1100, 5
4, 106, 2200, 5
4, 106, 4400, 2
4, 106, 6600, 1
4, 107, 1000, 1
4, 107, 2100, 2
4, 107, 5400, 1
4, 107, 6500, 1
4, 107, 7600, 1
4, 108, 2000, 2
4, 1089, 8300, 1
4, 109, 4100, 4
4, 109, 5200, 1
4, 11, 5000, 18
4, 11, 6100, 3
4, 11, 61, 1
4, 11, 7200, 6
4, 11, 8300, 3
4, 11, 83, 3
4, 11, 9400, 1
4, 11, 94, 1
4, 110, 1800, 1
4, 110, 21200, 1
4, 110, 2900, 4
4, 110, 520, 1
4, 110, 960, 1
4, 111, 1700, 3
4, 111, 2800, 1
4, 111, 400, 1
4, 111, 730, 1
4, 112, 10400, 1
4, 112, 11500, 1
4, 112, 1600, 1
4, 112, 2700, 1
4, 112, 720, 1
4, 113, 11600, 1
